当日链接,比赛详情链接,日期,开赛时间,联赛名,主队,客队,威廉希尔凯利胜,威廉希尔凯利平,威廉希尔凯利负,威廉希尔初盘返还率,威廉希尔终盘返还率,威廉希尔变化时间,伟德凯利胜,伟德凯利平,伟德凯利负,伟德初盘返还率,伟德终盘返还率,伟德变化时间,易胜博凯利胜,易胜博凯利平,易胜博凯利负,易胜博初盘返还率,易胜博终盘返还率,易胜博变化时间,interwetten凯利胜,interwetten凯利平,interwetten凯利负,interwetten初盘返还率,interwetten终盘返还率,interwetten变化时间,伟德主胜初赔,伟德主胜终赔,伟德平赔初赔,伟德平赔终赔,伟德客胜初赔,伟德客胜终赔,最终赛果,初盘亚盘（Crown）,终盘亚盘（Crown）,首先进球方
http://bf.win007.com/football/Over_20200331.htm	,http://op1.win007.com/oddslist/1865636.htm	,2020.03.31	,18:00	,球会友谊	,伊斯塔拉夫山	,伊斯法拉	,0.92	,0.68	,1.03	,89.91	,89.17	,03-31 17:06	,0.89	,1.15	,0.82	,90.70	,90.90	,	,0.93	,0.89	,0.82	,92.09	, 	,	,	,	,	,	,	,	,1.20	,1.08	,5.75	,11.00	,10.50	,12.00	,3	,两球半	,两球半	,3	
http://bf.win007.com/football/Over_20200331.htm	,http://op1.win007.com/oddslist/1865639.htm	,2020.04.01	,02:30	,球会友谊	,比托普斯	,索特拿维格斯	,0.87	,0.91	,0.95	,89.71	,89.10	,	,0.87	,0.92	,1.00	,91.06	,90.39	,04-01 02:28	,0.87	,0.95	,0.93	,86.63	,89.94	,	,	,	,	,	,	,	,1.57	,1.45	,4.60	,4.80	,4.10	,4.80	,3	,半球/一球	,一球	,3	
http://bf.win007.com/football/Over_20200331.htm	,http://op1.win007.com/oddslist/1751761.htm	,2020.12.04	,23:59	,亚洲预选	,卡塔尔	,孟加拉国	,0.94	,0.95	,0.67	,94.35	,93.72	,	,0.94	,1.06	,2.33	,95.62	,95.18	,12-04 23:59	,	,	,	,	,	,	,0.94	,0.78	,0.92	,94.41	,92.46	,	,1.02	,1.01	,18.00	,19.00	,101.00	,126.00	,3	,三球半/四球	,四球半	,3	
http://bf.win007.com/football/Over_20200331.htm	,http://op1.win007.com/oddslist/1686911.htm	,2020.10.14	,00:45	,欧青U21外	,西班牙U21	,哈萨克斯坦U21	,0.92	,0.85	,1.19	,92.01	,91.78	,10-14 00:36	,0.93	,1.15	,1.19	,94.10	,94.70	,10-14 00:37	,0.92	,1.00	,0.56	,89.39	,90.37	,	,0.93	,1.00	,0.99	,92.40	,93.30	,	,1.04	,1.04	,12.00	,15.00	,56.00	,36.00	,3	,三球	,三球/三球半	,3	
http://bf.win007.com/football/Over_20200331.htm	,http://op1.win007.com/oddslist/1686851.htm	,2020.11.17	,23:59	,欧青U21外	,希腊U21	,苏格兰U21	,0.89	,0.83	,0.96	,91.50	,91.50	,	,0.89	,0.91	,0.98	,93.85	,94.47	,	,0.85	,0.86	,0.94	,91.03	,90.29	,	,1.07	,0.91	,0.89	,93.75	,92.41	,11-17 22:35	,5.25	,5.00	,4.00	,3.70	,1.60	,1.70	,3	,受让半球	,受让半球/一球	,3	
http://bf.win007.com/football/Over_20200331.htm	,http://op1.win007.com/oddslist/1686910.htm	,2020.10.13	,23:59	,欧青U21外	,法罗群岛U21	,黑山U21	,1.01	,0.90	,0.90	,91.47	,91.45	,10-13 23:59	,0.96	,0.97	,0.93	,94.54	,94.10	,	,0.92	,0.90	,0.88	,89.20	,89.41	,	,0.96	,0.91	,0.93	,92.77	,92.72	,	,5.25	,5.50	,4.00	,4.10	,1.62	,1.57	,3	,受让半球/一球	,受让一球	,3	
http://bf.win007.com/football/Over_20200331.htm	,http://op1.win007.com/oddslist/1686992.htm	,2020.11.18	,01:15	,欧青U21外	,德国U21	,威尔斯U21	,0.91	,0.87	,1.17	,91.40	,91.49	,11-18 01:12	,0.93	,0.97	,1.39	,91.98	,94.50	,11-18 01:09	,0.90	,0.89	,0.76	,89.32	,89.29	,	,0.93	,0.97	,0.99	,92.91	,93.34	,	,1.07	,1.08	,10.00	,10.00	,19.00	,31.00	,3	,两球半	,两球半/三球	,3	
http://bf.win007.com/football/Over_20200331.htm	,http://op1.win007.com/oddslist/1686850.htm	,2020.11.17	,23:59	,欧青U21外	,克罗地亚U21	,立陶宛U21	,0.92	,0.89	,1.04	,91.37	,92.02	,11-17 23:59	,0.94	,0.89	,1.04	,94.21	,94.11	,11-17 23:56	,0.94	,0.89	,0.82	,90.11	,92.88	,	,0.90	,1.11	,1.36	,93.52	,93.82	,11-17 22:59	,1.08	,1.13	,9.00	,8.00	,41.00	,19.00	,3	,两球半	,两球/两球半	,3	
http://bf.win007.com/football/Over_20200331.htm	,http://op1.win007.com/oddslist/1686967.htm	,2020.11.17	,22:00	,欧青U21外	,马尔他U21	,芬兰U21	,1.19	,0.86	,0.90	,92.06	,91.67	,11-17 22:00	,1.14	,0.94	,0.93	,93.66	,95.03	,11-17 21:29	,0.79	,0.92	,0.90	,89.26	,89.11	,	,0.92	,0.94	,0.94	,92.88	,93.57	,	,7.00	,10.50	,4.75	,5.50	,1.40	,1.29	,0	,受让球半/两球	,受让球半/两球	,0	
http://bf.win007.com/football/Over_20200331.htm	,http://op1.win007.com/oddslist/1686993.htm	,2020.11.18	,01:15	,欧青U21外	,波黑U21	,比利时U21	,1.06	,0.90	,0.90	,92.84	,92.06	,11-18 01:15	,1.24	,0.99	,0.90	,94.69	,95.03	,11-18 01:10	,0.85	,0.92	,0.89	,89.26	,89.10	,	,0.95	,0.95	,0.91	,92.72	,92.19	,	,5.00	,10.50	,4.00	,5.50	,1.65	,1.29	,3	,受让一球/球半	,受让球半	,0	
http://bf.win007.com/football/Over_20200331.htm	,http://op1.win007.com/oddslist/1686764.htm	,2020.11.19	,00:30	,欧青U21外	,卢森堡U21	,爱尔兰U21	,0.91	,0.94	,0.92	,92.05	,92.17	,	,1.33	,1.00	,0.92	,94.34	,94.75	,11-18 23:52	,0.76	,0.84	,0.91	,89.18	,89.12	,	,0.97	,0.88	,0.94	,93.78	,93.03	,	,21.00	,22.00	,7.00	,8.00	,1.15	,1.13	,0	,受让两球/两球半	,受让两球/两球半	,0	
http://bf.win007.com/football/Over_20200331.htm	,http://op1.win007.com/oddslist/1686821.htm	,2020.10.14	,02:30	,欧青U21外	,英格兰U21	,土耳其U21	,0.91	,0.88	,1.16	,91.57	,91.74	,10-14 02:30	,0.92	,1.02	,1.16	,94.67	,94.81	,10-14 01:53	,0.89	,0.93	,0.85	,89.36	,89.22	,	,0.92	,0.95	,0.93	,92.19	,92.52	,	,1.30	,1.17	,5.50	,7.50	,9.50	,15.00	,3	,球半/两球	,两球	,3	
http://bf.win007.com/football/Over_20200331.htm	,http://op1.win007.com/oddslist/1686880.htm	,2020.11.18	,00:30	,欧青U21外	,保加利亚U21	,爱沙尼亚U21	,0.91	,0.89	,1.06	,91.98	,91.66	,11-18 00:30	,0.92	,0.97	,1.06	,93.88	,93.98	,11-18 00:30	,0.92	,0.85	,0.75	,89.63	,88.93	,	,0.92	,0.89	,0.98	,92.77	,92.31	,	,1.25	,1.20	,5.50	,6.50	,12.00	,13.00	,3	,球半/两球	,球半/两球	,3	
http://bf.win007.com/football/Over_20200331.htm	,http://op1.win007.com/oddslist/1686791.htm	,2020.11.17	,23:59	,欧青U21外	,斯洛伐克U21	,列支敦士登U21	,0.91	,0.89	,1.26	,91.28	,91.56	,11-17 23:58	,0.92	,1.12	,1.48	,92.97	,94.68	,11-17 23:45	,0.90	,0.93	,0.78	,88.89	,89.52	,	,0.92	,0.93	,0.96	,92.49	,92.59	,	,1.06	,1.06	,10.00	,12.00	,31.00	,34.00	,3	,两球半	,三球	,3	
http://bf.win007.com/football/Over_20200331.htm	,http://op1.win007.com/oddslist/1824130.htm	,2020.07.27	,03:00	,巴圣锦标	,帕尔梅拉斯	,阿故圣塔SP	,0.92	,0.92	,1.04	,92.37	,92.73	,07-27 02:48	,0.92	,0.97	,1.04	,95.43	,93.41	,07-27 03:00	,0.93	,0.84	,0.75	,88.92	,89.33	,	,0.94	,0.88	,0.96	,93.12	,93.13	,	,1.29	,1.22	,5.50	,5.75	,11.00	,13.00	,3	,球半	,球半	,0	
http://bf.win007.com/football/Over_20200331.htm	,http://op1.win007.com/oddslist/1824129.htm	,2020.07.27	,03:00	,巴圣锦标	,欧斯特	,科林蒂安	,0.95	,0.95	,0.91	,92.97	,92.72	,	,1.01	,0.92	,0.94	,94.38	,94.56	,07-27 03:00	,0.76	,0.90	,0.92	,89.03	,89.30	,	,0.92	,0.90	,0.93	,92.89	,92.50	,	,7.00	,8.00	,4.00	,4.20	,1.50	,1.44	,0	,受让一球/球半	,受让一球/球半	,0	
http://bf.win007.com/football/Over_20200330.htm	,http://op1.win007.com/oddslist/1865484.htm	,2020.03.31	,01:15	,球会友谊	,瓦斯特拉IS	,斯卡伯斯乔	,1.04	,0.92	,0.85	,88.73	,89.04	,03-31 01:15	,1.04	,0.96	,0.87	,91.14	,91.16	,03-31 00:57	,1.04	,0.89	,0.87	,90.17	,89.95	,03-31 01:15	,	,	,	,	,	,	,4.00	,6.50	,4.50	,5.75	,1.60	,1.30	,1	,受让一球	,受让球半	,0	
http://bf.win007.com/football/Over_20200330.htm	,http://op1.win007.com/oddslist/1686820.htm	,2020.11.18	,03:25	,欧青U21外	,奥地利U21	,安道尔U21	,0.95	,0.72	,0.75	,92.29	,91.53	,	,0.93	,0.99	,1.10	,94.32	,94.14	,11-18 03:17	,0.95	,0.68	,0.57	,89.24	,89.19	,	,0.92	,1.08	,1.15	,93.38	,94.22	,11-17 06:23	,1.04	,1.08	,13.00	,11.00	,46.00	,22.00	,3	,三球/三球半	,两球半	,3	
